GPSpt,Date,SH1,SH1out,G1,G1out,T1,T1out,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,SH2,SH2out,G2,G2out,T2,T2out,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,SH3,SH3out,G3,G3out,T3,T3out,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,Notes
48,20160111,64,74,59,62,18,34,2.4,2.3,2.3,2.7,2.3,2.9,2.1,2,2.6,2.2,10,25,10,25,10,10,25,25,10,25,79,84,17,21,67,39,2.2,2.6,2.4,2.4,1.7,2.7,3.1,2.2,2.2,2,10,10,10,10,10,25,10,25,10,10,4,57,54,67,71,87,2.4,2.2,2.7,2.3,2.3,2.3,2.5,2.5,2.4,2.2,10,10,0,0,10,10,25,25,50,10,sicklebush
49,20160111,66,71,62,44,52,11,1.9,2.4,2.8,2.1,2.2,1.9,2.2,2.2,2.2,1.7,50,50,25,25,50,50,50,25,25,50,39,42,59,61,13,17,2.4,2.4,2.2,2.2,1.9,2,1.7,2,1.7,1.7,25,25,50,25,25,25,25,25,50,25,37,44,39,54,16,29,2.1,2.6,2.4,2.4,2.1,1.7,1.7,1.5,1.3,2.2,25,50,50,25,25,25,50,25,50,25,sicklebush
50,20160111,84,72,61,77,49,16,1.9,2.1,2.3,1.7,1.8,2.6,2.1,2.2,1.3,1.3,25,25,25,10,25,10,10,25,25,50,82,47,45,61,38,47,2.5,1.9,2.3,2.3,2.1,2.7,2.7,1.7,1.9,2.2,25,25,25,25,25,25,25,25,10,25,40,32,54,61,31,22,2.4,2,1.7,1.3,1.9,1.5,0.5,0.7,1.3,2,25,25,10,25,25,25,25,50,25,10,sicklebush
51,20160114,34,59,97,76,17,21,1,0.7,1.2,1.4,2.3,2.7,2,2,1.9,1.9,25,25,25,25,25,25,50,25,25,10,54,59,57,53,21,11,0.3,0.3,1.9,1.7,1.9,2.2,2,1.7,1.2,1,10,25,10,25,25,25,25,10,10,25,17,25,99,92,16,15,1.4,1.6,1.3,1.9,1.2,2,2.5,2,1.7,1.3,50,25,25,25,25,25,10,25,25,25,broadleaf
53,20160112,21,19,30,49,39,42,0.4,1.7,1.7,2.2,1.6,2,2.4,2.2,1.9,1.7,0,0,10,10,25,25,25,25,50,25,44,49,71,66,16,0,3.3,2.4,1.7,1.7,0.7,2.2,2.2,1.9,1.4,2,10,10,0,10,10,10,25,25,10,10,11,9,6,29,11,16,2.7,2.9,2.4,0.4,1.9,1.7,1.4,2,1.7,1.2,10,10,0,0,0,0,10,10,25,10,broadleaf
55,20160112,44,39,39,27,12,19,2.4,1.2,3.3,1.7,1.7,2.4,2.2,2.2,1.9,2.2,25,25,10,10,25,10,10,25,25,10,17,21,46,51,19,17,2.8,2.2,1.7,1.4,2.6,1.7,2.3,2.6,2.3,2.3,10,10,10,25,10,25,25,10,10,10,59,64,6,17,28,32,2.6,2.2,2.2,2.3,2.6,1.4,1.9,1.2,2.3,1.4,0,0,10,0,10,0,0,10,25,10,broadleaf
58,20160112,11,19,26,21,39,24,1.4,2.2,2,1.6,0.6,1.9,2.4,2,2.1,0.7,25,10,10,25,25,25,25,10,10,25,31,27,49,52,11,74,1.3,1.7,2.2,0.9,1.2,1.7,0.9,1.3,2,1.4,25,10,0,10,10,25,25,10,25,10,60,73,63,59,0,24,1.3,1.9,2.4,0.7,0.9,2.6,2.3,2.3,1.9,2.5,25,25,10,0,10,10,10,25,25,10,sicklebush
60,20160112,16,34,4,11,34,39,0.2,0.7,2.7,0.3,0.1,0.5,1.7,1.7,1.2,1.9,0,0,0,0,0,0,25,0,25,25,7,45,3,9,18,0,0,0.2,0,0.9,1.9,2,1.7,1.7,2,1.8,0,0,0,0,10,10,10,10,25,10,51,40,21,19,17,29,1.9,2.2,2.2,2.4,2.6,2.6,1.7,1.4,1.7,1.9,0,0,0,0,10,10,10,10,25,10,broadleaf
61,20160112,34,17,8,11,14,0,2.9,2.7,0.9,1.4,1.6,0.2,0.8,1.6,1.5,1.4,0,0,25,25,0,25,0,0,25,10,16,21,30,19,43,21,3.3,2.7,2.6,1.7,1.2,1.9,1.9,1.4,1.6,1.2,10,10,10,10,10,25,25,10,10,10,18,20,9,20,17,29,3.1,2.9,1.7,1.3,1.2,1.5,2,3,1.2,1.3,25,10,0,25,10,25,25,10,10,10,sicklebush
62,20160112,84,89,31,49,16,21,2.9,2.9,2.7,3.1,2.9,2.7,2.4,2.4,2.6,2.9,0,25,25,25,10,0,0,10,10,25,100,92,26,16,44,56,3.2,3.3,3.2,2.7,2.5,2.4,2.5,2.5,2.6,1.9,25,25,10,0,0,25,50,25,50,25,67,39,40,54,16,13,2.4,2.7,2.4,1.9,1.9,2.3,2.2,1.7,1.7,2.3,25,25,50,10,50,50,50,25,25,25,sicklebush
