GPSpt,Date,ShrCover1,GrassCover1,TreeCover1,SH1,SH2,SH3,SH4,SH5,GH1,GH2,GH3,GH4,GH5,ShrCover2,GrassCover2,TreeCover2,SH6,SH7,SH8,SH9,SH10,GH6,GH7,GH8,GH9,GH10,ShrCover3,GrassCover3,TreeCover3,SH11,SH12,SH13,SH14,SH15,GH11,GH12,GH13,GH14,GH15,Buildings,Notes
353,20150301,15,59,0,0.7,0.7,0.8,2.2,2.1,ankle,ankle,ankle,ankle,shin,44,55,0,0.6,0.4,2.6,1.2,1.9,shin,shin,ankle,ankle,ankle,17,62,9,0.3,0.2,2.2,0.6,3.5,shin,shin,shin,shin,shin,0,
354,20150212,15,6,100,1.6,1.2,1.3,1.2,1.1,ankle,,,ankle,ankle,9,11,100,1.4,0.9,1.2,0.8,1.3,knee,ankle,,ankle,ankle,21,4,100,1.2,0.8,1.1,0.7,0.3,ankle,ankle,shin,shin,ankle,0,
355,20150212,100,3,100,1.8,2.3,2.2,1.7,1.9,ankle,ankle,,,ankle,100,4,100,1.6,2.4,2.4,2.1,1.7,ankle,ankle,knee,shin,shin,97,6,100,2.4,2.4,2.7,1.9,2.3,shin,shin,ankle,shin,shin,0,
356,20150212,67,84,12,2.3,2.4,1.9,2.6,1.7,thigh,waist,waist,waist,waist,94,36,68,2.2,2.5,2.7,2.2,1.9,thigh,thigh,thigh,waist,thigh,58,29,11,2.5,2.7,3.2,2.4,2.6,,thigh,waist,,waist,0,
357,20150302,97,18,0,1.9,3.3,2.9,2.9,2.9,knee,shin,shin,shin,shin,89,2,35,2.4,2.7,1.7,,3.3,,,,,,83,3,65,2.4,3,3,2.7,2.9,,,,,,0,
358,20150302,100,6,100,1.9,2.9,1.7,3.5,1.6,,ankle,ankle,,,85,3,100,3.5,3.3,1.9,1.7,3,ankle,ankle,,ankle,,76,4,100,2.8,2.8,3.5,1.6,1.4,ankle,ankle,,,,0,
360,20150211,21,7,0,0.4,1.3,1.7,1.6,1.4,,,shin,,,33,9,7,1.2,2.9,2.7,3.2,2.9,ankle,,,ankle,shin,27,16,0,1.8,2.3,2.4,1.9,1.7,,,shin,,ankle,0,
361,20150211,97,19,8,2.9,3.5,2.7,3.3,3.3,shin,,shin,shin,shin,64,24,0,2.3,1.9,1.7,2.4,2.2,shin,shin,ankle,ankle,shin,29,17,30,2.3,2,2.2,2.6,1.9,ankle,ankle,shin,shin,ankle,0,
362,20150211,39,64,15,3,3,2.7,2.5,3.1,knee,knee,knee,knee,knee,32,59,59,0.8,1.2,1.1,0.9,1.4,knee,thigh,knee,knee,knee,14,72,12,0.7,2.8,1,2.6,1.5,knee,knee,thigh,knee,thigh,0,
363,20150211,17,79,0,1.1,2.3,1.2,1.3,2.3,knee,shin,shin,shin,knee,54,74,0,1.3,1.7,2.2,2.3,1.4,shin,shin,knee,shin,shin,56,68,24,1.7,2.3,1.6,1.9,2.2,shin,knee,knee,shin,shin,0,
364,20150211,78,16,22,3.2,3.3,3,2.9,2.7,,,ankle,ankle,ankle,33,14,57,1,1.8,2.3,1.7,1.4,shin,shin,shin,shin,shin,16,21,58,,,1.4,2.1,2.3,knee,,knee,shin,shin,0,
365,20150211,27,54,0,1.2,1.2,1,0.8,1.4,ankle,ankle,ankle,ankle,ankle,17,62,0,1,0.8,1.2,2.3,1.2,shin,shin,shin,shin,shin,14,66,0,1.4,0.6,3.5,2.4,2.8,ankle,shin,shin,ankle,ankle,0,
366,20150211,78,58,14,3,3.2,3.1,3.4,2.9,ankle,shin,ankle,ankle,shin,39,84,0,1.2,1.4,3.2,1.8,1.6,ankle,ankle,knee,ankle,knee,63,72,17,1.3,1.3,2.9,3.3,2.9,ankle,ankle,knee,ankle,knee,0,
368,20150211,74,15,7,2.4,2.2,2.6,2.2,2.7,ankle,ankle,ankle,ankle,ankle,91,35,16,3.4,3.4,3.2,3.4,2.9,shin,shin,ankle,shin,shin,94,22,0,3.2,3.3,3.3,3.2,2.9,shin,shin,ankle,ankle,ankle,0,
369,20150211,29,66,9,0.2,0.3,0.4,1.9,2.4,ankle,ankle,ankle,ankle,ankle,0,74,0,,,,,,ankle,ankle,ankle,ankle,ankle,39,57,0,0.2,0.1,1,2.9,2.7,ankle,ankle,ankle,ankle,ankle,0,
370,20150211,4,72,0, , ,1.9,,,ankle,ankle,ankle,ankle,ankle,0,68,0,,,,,,ankle,ankle,ankle,ankle,ankle,12,70,0,,,,0.9,2.9,ankle,ankle,ankle,ankle,,0,
371,20150211,72,15,0,1.7,3,2.9,2.7,1.9,ankle,ankle,ankle,ankle,shin,26,15,0,2.3,2.7,1.8,2.6,1.4,ankle,ankle,ankle,ankle,ankle,17,9,0,0.2,0.3,2.9,2.7,0.4,ankle,,ankle,,ankle,0,
372,20150211,17,46,11,1.1,1.6,1.4,2.6,3.4,ankle,,,ankle,ankle,30,16,70,3.4,3.2,3.5,,,,,,ankle,ankle,34,29,23,1.2,1.6,2.6,2.7,2.2,ankle,ankle,ankle,ankle,ankle,0,
373,20150211,16,68,0,0.2,1.6,3.4,,,ankle,ankle,ankle,ankle,ankle,38,62,0,0.7,0.3,0.7,2.6,3.4,ankle,ankle,,ankle,ankle,24,67,0,0.8,0.6,3.5,2.2,2.5,ankle,ankle,ankle,ankle,ankle,0,
374,20150211,42,72,17,1.3,1,2.3,2.5,2.2,chest,chest,waist,chest,chest,53,82,0,2.1,2.6,2.2,2.6,2.2,waist,waist,knee,waist,chest,74,60,19,1.2,1.7,2.2,2.9,2.7,waist,thigh,knee,waist,knee,0,
375,20150301,5,35,3,1.9,1.7,,,, , , , ,head,0,76,0,,,,,,shin,head,shin,shin,head,0,74,12,,,,,,knee,head,head,head,head,13,
376,20150301,8,98,0,,,2.6,,,waist,shin,shin,shin,waist,0,100,0,,,,,,waist,waist,waist,waist,waist,9,84,0,,,,2.9,,waist,waist,waist,waist,waist,13,
